address,num_transactions,%total_transactions
0xfcc60e3ba8e753f131032f26b0179bac332551c9,253,3.19
0xf12c21d3edb2c0e68935a3bbe5d68ae4bf9dcd7c,188,2.37
0xbd9cf606a81da379d1ad3874363746f73295915a,148,1.87
0xff322f60c0b0dcd926af6c0cf262a7b611df3425,111,1.4
0xbc7de2b767fa97ea9d5ebc05a8d0c8557dcabd7b,108,1.36
0x0985224a811e65c235dbf4a2c2117712aabe4e39,92,1.16
0x521822336c9b025f6ec331dec46cb7f6e9e2d41e,83,1.05
0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,76,0.96
0xf9c10dc0acac201388c96374e3386f568962d0e8,68,0.86
0x4d7351be08b58c20d85c2945d92634c1f1f08121,65,0.82
0xeb6bba36e21084236e027f5fba1b8aea4abb304e,64,0.81
0x0898828b82007211f14b5bd2292f2b813effa703,60,0.76
0x63244b5f1ebcb999ea012da652dffee6653bf8f5,58,0.73
0x1b5b77145bfab1576a2b3e7f420eba3e738e7c01,55,0.69
0x2811366c19d8b485745bf9ca8e4579d171b78218,52,0.66
0xf92b6edd0d62e12f718a5a442d10981c1f6537cf,48,0.61
0x327d3c8a2406f2f4f3f3d96f5f502bb4b25d57ef,37,0.47
0x9fad1f23aa3961d32fb7745976d86edbcc1d4945,32,0.4
0x20ca0d6fe51d06946f5cc90f9f4f297d398dd6db,32,0.4
0xf8ef8b1e6e493b2e8ec0351a4f6b474ac69a126a,32,0.4
0x4eeaba74d7f51fe3202d7963eff61d2e7e166cba,28,0.35
0x2bd45dbcf7afb0fda70e7d304e527a04c7806b36,28,0.35
0x3d434011da236dcc7c0e89102657290c3f57081e,25,0.32
0x5de945e8b3c7cee5580c0f6f54ebb5653bf73f21,23,0.29
0x9b814233894cd227f561b78cc65891aa55c62ad2,22,0.28
0x5d7f92c45c2b6a1711a0a1a7b7f6608437d17e76,20,0.25
0xfd56701fa4c6e62918e14000ebb4ec5a16ebea10,20,0.25
0xb224614c79ccc0b31dbbfacf4fbcde178a0d8817,19,0.24
0x019123ec01d1da45b357a11422879e81687af4ee,19,0.24
0xa2381223639181689cd6c46d38a1a4884bb6d83c,19,0.24
0x683a3c85f00a6bd80857a05b7b46f666f486568b,19,0.24
0x1203df9a2aaf21401def5bb1092ea4982976766d,18,0.23
0xa9a0cf0fef9a89a333eb8fae704ea05df91a144d,17,0.21
0x7fcfe31e3b80e47e814d95c85784b5d1b854a5f4,17,0.21
0xe6f9ebed188d3d22f16955a8439d609d9107b031,17,0.21
